STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ	GREEK / ΕΛΛΗΝΙΚΑ	TURKISH / TÜRKÇE	DANISH / DANSK	NORWEGIAN (NB) / NORSK BOKMÅL	SWEDISH / SVENSKA	DUTCH / NEDERLANDS	POLISH / POLSKI	FINNISH / SUOMI	JAPANESE / 日本語	SIMPLIFIED CHINESE / 简体中文	TRADITIONAL CHINESE / 繁体中文	KOREAN / 한국어	CZECH / ČEŠTINA	HUNGARIAN / MAGYAR	ROMANIAN / ROMÂNĂ	THAI / ภาษาไทย	BULGARIAN / БЪЛГАРСКИ	עברית / HEBREW	 العربية / ARABIC	BOSNIAN
LANGUAGE_CODE	IETF language tag(s) without dash	enUS enGB	frFR	esES esAR esMX	deDE deCH deAT	itIT itCH	ptBR	ptPT	ruRU	elGR	trTR	daDK	noNB	svSE	nlNL	plPL	fiFI	jaJP	zhCN zhSG	zhTW zhHK zhMO	koKR	csCZ	huHU	roRO	thTH	bgBG	heIL	ar001	bsBS
LANGUAGE_EN	[LanguageName] in english	English	French	Spanish	German	Italian 	Portuguese (Brazil)	Portuguese	Russian	Greek	Turkish	Danish	Norwegian	Swedish	Dutch	Polish	Finnish	Japanese	Simplified Chinese	Traditional Chinese	Korean	Czech	Hungarian	Romanian	Thai	Bulgarian	Hebrew	Arabic	Bosnian
LANGUAGE_DIRECTION	ltr or rtl (text direction used by game code)	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	rtl	rtl	ltr
																													
Polyglot	100																												
CONTEXT_CHARACTER_CLASS	[Noun] Character class	Class	Classe	Clase	Klasse	Classe	Classe	Classe	Класс	Κλάση	Sınıf	Klasse	Klasse	Klass	Klasse	Klasa	Luokka	クラス	角色种类	角色類	직업	Třída	Osztály	Clasă	คลาส	Клас	טיפוס	فئة	Klasa
CONTEXT_CHARACTER_DELETE	[Verb]	Delete Character	Supprimer personnage	Eliminar personaje	Character löschen	Cancella personaggio	Deletar Personagem	Apagar personagem	Удалить персонажа	Διαγραφή Χαρακτήρα	Karakteri Sil	Slet karakter	Slett karakter	Radera karaktär	Verwijder Personage	Usuń Postać	Poista hahmo	キャラクター削除	删除角色	刪除角色	캐릭터 지우기	Smazat postavu	Karakter törlése	Șterge personaj	ลบตัวละคร	Изтриване на героя	למחוק דמות	حذف الشخصية	Obrisati Lika
CONTEXT_CHARACTER_NEW	Typically used in rpgs/mmorpgs	New Character	Nouveau personnage	Nuevo personaje	Neuer Charakter	Nuovo personaggio	Novo Personagem	Nova personagem	Новый персонаж	Δημιουργία Χαρακτήρα	Yeni Karakter	Ny karakter	Ny karakter	Ny karaktär	Nieuw Personage	Nowa Postać	Uusi hahmo	新規キャラクター	创新角色	創新角色	캐릭터 만들기	Nová postava	Új karakter	Personaj nou	ตัวละครใหม่	Нов герой	דמות חדשה	شخصية جديدة	Novi Lik
CONTEXT_CLASS_AI	[Noun]	Artificial Intelligence	Intelligence Artificielle	Inteligencia Artificial	Künstliche Intelligenz	Intelligenza Artificiale	Inteligência Artificial	Inteligência Artificial	Искусственный интеллект	Τεχνιτή Νοημοσύνη	Yapay Zekâ	Kunstig Intelligens	Kunstig Intelligens	Artificiell intelligens	Kunstmatige intelligentie	Sztuczna Inteligencja	Tekoäly	人工知能	人工智能	人工智能	인공지능	Umělá inteligence	Mesterséges Intelligencia	Inteligență Artificială	ปัญญาประดิษฐ์	Изкуствен интелект	בינה-מלאכותית	ذكاء صنعي	Umjetna Inteligencija
CONTEXT_CLASS_ALIEN	[Noun]	Alien	Extraterrestre	Alienígena	Alien	Alieno	Extraterrestre	Extraterrestre	Пришелец	Εξωγήινος	Uzaylı	Rumvæsen	Romvesen	Utomjording	Buitenaards wezen	Kosmita	Avaruusolio	エイリアン	外星人	外星人	외계인	Mimozemšťan	Idegen	Extraterestru	เอเลี่ยน	Извънземно	חייזר	كائن فضائي	Vanzemaljac
CONTEXT_CLASS_CLONE	[Noun]	Clone	Clone	Clon	Klon	Clone	Clone	Clone	Клон	Κλόνος	Klon	Klon	Klon	Klon	Kloon	Klon	Klooni	クローン	复制	複製人	복제 인간	Klon 	Klón	Clonă	โคลน	Клонинг	כפיל	مستنسخ	Klon
